scope_type,scope_code,energy_label,sales,q1_ratio,median_ratio,q3_ratio,reason
epci,243500733,A,5,,,,support insuffisant : 5 < 30
epci,243500733,B,5,,,,support insuffisant : 5 < 30
epci,243500733,C,36,0.96,1.06,1.16,
epci,243500733,D,44,0.88,1.05,1.24,
epci,243500733,E,21,,,,support insuffisant : 21 < 30
epci,243500733,F,14,,,,support insuffisant : 14 < 30
epci,243500733,G,5,,,,support insuffisant : 5 < 30
epci,243500741,A,1,,,,support insuffisant : 1 < 30
epci,243500741,B,8,,,,support insuffisant : 8 < 30
epci,243500741,C,35,0.9,1.06,1.22,
epci,243500741,D,51,0.84,1.0,1.13,
epci,243500741,E,31,0.85,0.93,1.08,
epci,243500741,F,12,,,,support insuffisant : 12 < 30
epci,243500741,G,6,,,,support insuffisant : 6 < 30
epci,243500774,A,10,,,,support insuffisant : 10 < 30
epci,243500774,B,14,,,,support insuffisant : 14 < 30
epci,243500774,C,40,0.95,1.01,1.11,
epci,243500774,D,49,0.89,0.99,1.15,
epci,243500774,E,16,,,,support insuffisant : 16 < 30
epci,243500774,F,6,,,,support insuffisant : 6 < 30
epci,243500774,G,4,,,,support insuffisant : 4 < 30
epci,243500782,A,21,,,,support insuffisant : 21 < 30
epci,243500782,B,17,,,,support insuffisant : 17 < 30
epci,243500782,C,150,0.86,1.01,1.15,
epci,243500782,D,219,0.84,1.03,1.28,
epci,243500782,E,126,0.77,0.99,1.26,
epci,243500782,F,62,0.75,0.98,1.2,
epci,243500782,G,27,,,,support insuffisant : 27 < 30
