scope_type,scope_code,cohort_year,cohort_parcels,sold_within_12_months,rate_pct,reason
commune,35221,2023,30,11,,support insuffisant : 30 < 200
commune,35222,2023,27,11,,support insuffisant : 27 < 200
commune,35223,2023,47,15,,support insuffisant : 47 < 200
commune,35224,2023,25,11,,support insuffisant : 25 < 200
commune,35225,2023,3,0,,support insuffisant : 3 < 200
commune,35226,2023,34,8,,support insuffisant : 34 < 200
commune,35227,2023,52,9,,support insuffisant : 52 < 200
commune,35228,2023,90,47,,support insuffisant : 90 < 200
commune,35229,2023,13,5,,support insuffisant : 13 < 200
commune,35230,2023,5,3,,support insuffisant : 5 < 200
commune,35231,2023,12,5,,support insuffisant : 12 < 200
commune,35232,2023,6,2,,support insuffisant : 6 < 200
commune,35233,2023,7,1,,support insuffisant : 7 < 200
commune,35234,2023,13,5,,support insuffisant : 13 < 200
commune,35235,2023,11,2,,support insuffisant : 11 < 200
commune,35236,2023,163,52,,support insuffisant : 163 < 200
commune,35237,2023,14,6,,support insuffisant : 14 < 200
commune,35238,2023,1412,381,27.0,
commune,35239,2023,54,15,,support insuffisant : 54 < 200
commune,35240,2023,84,34,,support insuffisant : 84 < 200
commune,35241,2023,36,14,,support insuffisant : 36 < 200
commune,35242,2023,5,2,,support insuffisant : 5 < 200
commune,35243,2023,22,11,,support insuffisant : 22 < 200
commune,35244,2023,3,0,,support insuffisant : 3 < 200
commune,35245,2023,62,14,,support insuffisant : 62 < 200
commune,35246,2023,13,3,,support insuffisant : 13 < 200
commune,35247,2023,9,3,,support insuffisant : 9 < 200
commune,35248,2023,7,2,,support insuffisant : 7 < 200
commune,35249,2023,14,4,,support insuffisant : 14 < 200
commune,35250,2023,32,18,,support insuffisant : 32 < 200
commune,35251,2023,54,19,,support insuffisant : 54 < 200
commune,35252,2023,12,3,,support insuffisant : 12 < 200
commune,35253,2023,70,15,,support insuffisant : 70 < 200
commune,35255,2023,22,9,,support insuffisant : 22 < 200
commune,35256,2023,50,19,,support insuffisant : 50 < 200
commune,35257,2023,37,11,,support insuffisant : 37 < 200
commune,35258,2023,3,0,,support insuffisant : 3 < 200
commune,35259,2023,8,4,,support insuffisant : 8 < 200
commune,35260,2023,15,6,,support insuffisant : 15 < 200
commune,35261,2023,1,1,,support insuffisant : 1 < 200
commune,35262,2023,4,2,,support insuffisant : 4 < 200
commune,35263,2023,37,13,,support insuffisant : 37 < 200
commune,35264,2023,18,10,,support insuffisant : 18 < 200
commune,35265,2023,21,11,,support insuffisant : 21 < 200
commune,35266,2023,23,8,,support insuffisant : 23 < 200
commune,35268,2023,11,3,,support insuffisant : 11 < 200
commune,35270,2023,6,0,,support insuffisant : 6 < 200
commune,35271,2023,12,7,,support insuffisant : 12 < 200
commune,35272,2023,19,4,,support insuffisant : 19 < 200
commune,35273,2023,29,10,,support insuffisant : 29 < 200
commune,35274,2023,21,5,,support insuffisant : 21 < 200
commune,35275,2023,57,25,,support insuffisant : 57 < 200
commune,35276,2023,5,4,,support insuffisant : 5 < 200
commune,35277,2023,5,2,,support insuffisant : 5 < 200
commune,35278,2023,102,30,,support insuffisant : 102 < 200
commune,35279,2023,13,5,,support insuffisant : 13 < 200
commune,35280,2023,7,2,,support insuffisant : 7 < 200
commune,35281,2023,97,27,,support insuffisant : 97 < 200
commune,35282,2023,26,7,,support insuffisant : 26 < 200
commune,35283,2023,17,3,,support insuffisant : 17 < 200
commune,35284,2023,31,10,,support insuffisant : 31 < 200
commune,35285,2023,6,2,,support insuffisant : 6 < 200
commune,35286,2023,3,0,,support insuffisant : 3 < 200
commune,35287,2023,34,14,,support insuffisant : 34 < 200
commune,35288,2023,638,253,39.7,
commune,35289,2023,9,4,,support insuffisant : 9 < 200
commune,35290,2023,15,4,,support insuffisant : 15 < 200
commune,35291,2023,4,0,,support insuffisant : 4 < 200
commune,35292,2023,15,9,,support insuffisant : 15 < 200
commune,35294,2023,17,3,,support insuffisant : 17 < 200
commune,35295,2023,6,0,,support insuffisant : 6 < 200
commune,35296,2023,9,1,,support insuffisant : 9 < 200
commune,35297,2023,82,31,,support insuffisant : 82 < 200
commune,35299,2023,48,19,,support insuffisant : 48 < 200
commune,35300,2023,12,1,,support insuffisant : 12 < 200
commune,35302,2023,8,2,,support insuffisant : 8 < 200
commune,35304,2023,11,3,,support insuffisant : 11 < 200
commune,35305,2023,1,0,,support insuffisant : 1 < 200
commune,35306,2023,19,9,,support insuffisant : 19 < 200
commune,35307,2023,12,2,,support insuffisant : 12 < 200
commune,35308,2023,32,12,,support insuffisant : 32 < 200
commune,35309,2023,5,3,,support insuffisant : 5 < 200
commune,35310,2023,8,2,,support insuffisant : 8 < 200
commune,35311,2023,3,1,,support insuffisant : 3 < 200
commune,35312,2023,19,3,,support insuffisant : 19 < 200
commune,35314,2023,14,5,,support insuffisant : 14 < 200
commune,35315,2023,9,3,,support insuffisant : 9 < 200
commune,35316,2023,11,4,,support insuffisant : 11 < 200
commune,35317,2023,3,0,,support insuffisant : 3 < 200
commune,35318,2023,4,2,,support insuffisant : 4 < 200
commune,35319,2023,17,7,,support insuffisant : 17 < 200
commune,35320,2023,7,4,,support insuffisant : 7 < 200
commune,35321,2023,10,1,,support insuffisant : 10 < 200
commune,35322,2023,7,5,,support insuffisant : 7 < 200
commune,35324,2023,8,4,,support insuffisant : 8 < 200
commune,35326,2023,23,10,,support insuffisant : 23 < 200
commune,35327,2023,38,14,,support insuffisant : 38 < 200
commune,35328,2023,30,12,,support insuffisant : 30 < 200
commune,35329,2023,5,5,,support insuffisant : 5 < 200
commune,35330,2023,24,3,,support insuffisant : 24 < 200
commune,35331,2023,24,15,,support insuffisant : 24 < 200
commune,35332,2023,6,1,,support insuffisant : 6 < 200
commune,35333,2023,12,5,,support insuffisant : 12 < 200
commune,35334,2023,81,33,,support insuffisant : 81 < 200
commune,35335,2023,10,4,,support insuffisant : 10 < 200
commune,35337,2023,64,21,,support insuffisant : 64 < 200
