scope_type,scope_code,mutations,mutations_without_allocatable_price,share_without_allocatable_price_pct,diagnostics,diagnostics_without_building,share_without_building_pct,reason
commune,35241,845,303,35.9,417,141,33.8,
commune,35242,160,80,50.0,38,12,31.6,
commune,35243,539,129,23.9,209,74,35.4,
commune,35244,97,26,26.8,23,4,17.4,
commune,35245,1104,339,30.7,529,183,34.6,
commune,35246,419,148,35.3,98,47,48.0,
commune,35247,478,177,37.0,166,75,45.2,
commune,35248,197,59,29.9,70,39,55.7,
commune,35249,456,158,34.6,113,57,50.4,
commune,35250,741,275,37.1,320,103,32.2,
commune,35251,1106,283,25.6,580,203,35.0,
commune,35252,239,75,31.4,96,30,31.2,
commune,35253,1047,284,27.1,513,221,43.1,
commune,35254,29,6,20.7,0,0,,aucune observation
commune,35255,283,105,37.1,193,66,34.2,
commune,35256,1077,323,30.0,532,211,39.7,
commune,35257,1076,356,33.1,557,276,49.6,
commune,35258,56,20,35.7,23,7,30.4,
commune,35259,394,134,34.0,116,60,51.7,
commune,35260,188,56,29.8,94,41,43.6,
commune,35261,49,16,32.7,15,7,46.7,
commune,35262,91,26,28.6,21,9,42.9,
commune,35263,1030,359,34.9,295,117,39.7,
commune,35264,439,117,26.7,170,46,27.1,
commune,35265,611,212,34.7,281,133,47.3,
commune,35266,1143,515,45.1,600,170,28.3,
commune,35267,87,29,33.3,1,0,0.0,
commune,35268,177,64,36.2,41,18,43.9,
commune,35269,81,26,32.1,0,0,,aucune observation
commune,35270,96,34,35.4,48,10,20.8,
commune,35271,549,277,50.5,166,75,45.2,
commune,35272,256,87,34.0,86,31,36.0,
commune,35273,518,191,36.9,226,87,38.5,
commune,35274,243,99,40.7,113,32,28.3,
commune,35275,1312,621,47.3,637,221,34.7,
commune,35276,188,62,33.0,31,8,25.8,
commune,35277,127,56,44.1,34,11,32.4,
commune,35278,2345,1274,54.3,1566,325,20.8,
commune,35279,375,124,33.1,100,39,39.0,
commune,35280,309,109,35.3,83,35,42.2,
commune,35281,3927,2997,76.3,3452,661,19.1,
commune,35282,587,175,29.8,224,118,52.7,
commune,35283,335,97,29.0,125,33,26.4,
commune,35284,754,269,35.7,449,156,34.7,
commune,35285,511,210,41.1,39,21,53.8,
commune,35286,99,42,42.4,21,8,38.1,
commune,35287,1253,453,36.2,449,151,33.6,
commune,35288,18695,11263,60.2,16794,5496,32.7,
commune,35289,342,119,34.8,78,41,52.6,
commune,35290,259,98,37.8,64,18,28.1,
commune,35291,215,93,43.3,51,23,45.1,
commune,35292,440,157,35.7,158,46,29.1,
commune,35293,52,17,32.7,0,0,,aucune observation
commune,35294,707,235,33.2,219,125,57.1,
commune,35295,128,45,35.2,52,25,48.1,
commune,35296,418,162,38.8,92,42,45.7,
commune,35297,1207,531,44.0,816,340,41.7,
commune,35299,1500,537,35.8,576,201,34.9,
commune,35300,431,168,39.0,140,67,47.9,
commune,35301,63,10,15.9,0,0,,aucune observation
commune,35302,324,114,35.2,80,31,38.8,
commune,35303,79,16,20.3,0,0,,aucune observation
commune,35304,327,91,27.8,134,52,38.8,
commune,35305,96,23,24.0,34,20,58.8,
commune,35306,797,285,35.8,198,74,37.4,
commune,35307,210,78,37.1,70,33,47.1,
commune,35308,1219,444,36.4,453,268,59.2,
commune,35309,231,59,25.5,77,32,41.6,
commune,35310,275,95,34.5,124,56,45.2,
commune,35311,256,119,46.5,73,43,58.9,
commune,35312,503,125,24.9,157,92,58.6,
commune,35314,309,94,30.4,159,77,48.4,
commune,35315,300,73,24.3,114,51,44.7,
commune,35316,314,96,30.6,116,71,61.2,
commune,35317,154,45,29.2,27,7,25.9,
commune,35318,289,104,36.0,67,26,38.8,
commune,35319,592,191,32.3,159,68,42.8,
commune,35320,153,59,38.6,56,25,44.6,
commune,35321,209,70,33.5,65,22,33.8,
commune,35322,283,80,28.3,92,48,52.2,
commune,35323,27,4,14.8,0,0,,aucune observation
commune,35324,170,78,45.9,50,11,22.0,
commune,35325,45,16,35.6,13,12,92.3,
commune,35326,524,153,29.2,249,82,32.9,
commune,35327,1072,297,27.7,453,186,41.1,
commune,35328,734,249,33.9,204,69,33.8,
commune,35329,260,82,31.5,74,36,48.6,
commune,35330,222,78,35.1,110,34,30.9,
commune,35331,650,214,32.9,229,76,33.2,
commune,35332,464,140,30.2,120,62,51.7,
commune,35333,387,116,30.0,177,53,29.9,
commune,35334,1766,928,52.5,1106,267,24.1,
commune,35335,280,68,24.3,99,41,41.4,
commune,35336,68,39,57.4,5,0,0.0,
commune,35337,1057,363,34.3,490,173,35.3,
commune,35338,298,67,22.5,94,26,27.7,
commune,35339,303,127,41.9,74,29,39.2,
commune,35340,385,109,28.3,79,38,48.1,
commune,35341,138,48,34.8,0,0,,aucune observation
