reference,cadastral_id,dpe_deposited_at,dpe_age_months,residual_probability,energy_label,label_rate,living_area_m2,built_year,parcel_area_m2,zone,last_mutation,diagnostics,dpe_address,latitude,longitude,map_url,position_missing
C023,35051000AT0203,2026-04-22,4,0.2964680212736943,C,0.3585746102449889,95.1,1998,282.025063526928,U|UE2c,,1,29 Rue du Petit Marais 35510 Cesson-Sévigné,48.11243873449119,-1.616029406549371,"https://www.geoportail.gouv.fr/carte?c=-1.616029,48.112439&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C024,35051000BD0140,2026-05-26,3,0.31695519348268836,D,0.3853884808658678,234.4,1992,556.630712722928,U|UE2c(d),,1,21 Rue de la Pommeraie 35510 Cesson-Sévigné,48.12698772780641,-1.6032675703665251,"https://www.geoportail.gouv.fr/carte?c=-1.603268,48.126988&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C025,35051000AB0229,2026-03-18,5,0.25846702317290554,F,0.48747591522157996,102.4,1975,600.904962063895,U|UE2c(d),,2,6 Rue du Courtil 35510 Cesson-Sévigné,48.120250700122995,-1.6082129988249114,"https://www.geoportail.gouv.fr/carte?c=-1.608213,48.120251&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C026,35051000AS0017,2026-06-01,3,0.31695519348268836,E,0.4308510638297872,167.3,1970,691.155361140763,U|UE2c(d),,1,2 Rue du Verger 35510 Cesson-Sévigné,48.11854579336371,-1.6140669992384384,"https://www.geoportail.gouv.fr/carte?c=-1.614067,48.118546&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C027,35051000AK0249,2024-04-23,28,,D,0.3853884808658678,145,1955,472.432912957808,U|UE2c,,1,10 Allée des Tulipes 35510 Cesson-Sévigné,48.11489137939787,-1.6290841809081322,"https://www.geoportail.gouv.fr/carte?c=-1.629084,48.114891&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C028,35051000AN0356,2024-08-27,24,,D,0.3853884808658678,83.9,1974,159.116565426373,U|UE2c,,2,16 Rue du Grand Champ 35510 Cesson-Sévigné,48.11720229934888,-1.6217320704748188,"https://www.geoportail.gouv.fr/carte?c=-1.621732,48.117202&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C029,35051000AB0203,2024-08-05,25,,E,0.4308510638297872,135.9,1973,356.659950478556,U|UE2c(d),,1,18 Avenue de Caradeuc 35510 Cesson-Sévigné,48.12062073286561,-1.605339264239909,"https://www.geoportail.gouv.fr/carte?c=-1.605339,48.120621&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C030,35051000AE0155,2024-06-03,27,,E,0.4308510638297872,104.4,1977,291.604827704443,U|UE2c,,1,5 Rue des Petits Champs 35510 Cesson-Sévigné,48.123900949680696,-1.5970575588021503,"https://www.geoportail.gouv.fr/carte?c=-1.597058,48.123901&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C031,35051000AW0043,2026-05-21,3,0.31695519348268836,D,0.3853884808658678,96.4,1968,492.238359933797,U|UE2c(d),2025-07-21,3,9 Allée des Korrigans 35510 Cesson-Sévigné,48.11324998197464,-1.6314621186912952,"https://www.geoportail.gouv.fr/carte?c=-1.631462,48.113250&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C032,35051000AW0123,2026-05-05,4,0.2964680212736943,E,0.4308510638297872,106.8,1958,364.527385985184,U|UE2c,,1,4 Rue de Bel Air 35510 Cesson-Sévigné,48.1135964336645,-1.6286141420641744,"https://www.geoportail.gouv.fr/carte?c=-1.628614,48.113596&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C033,35051000AA0311,2026-03-27,5,0.25846702317290554,D,0.3853884808658678,112.1,1986,489.715386983301,U|UE2c(d),,2,26 Rue de la Grande Pierre 35510 Cesson-Sévigné,48.12455827483396,-1.6045114259115734,"https://www.geoportail.gouv.fr/carte?c=-1.604511,48.124558&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C034,35051000AR0102,2024-06-24,26,,C,0.3585746102449889,67,1880,115.2440142957,U|UA1a,2015-12-18,1,3 Place de l'Eglise 35510 Cesson-Sévigné,48.116677261750326,-1.6050089293736842,"https://www.geoportail.gouv.fr/carte?c=-1.605009,48.116677&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C035,35051000ZT0172,2024-08-18,24,,D,0.3853884808658678,162.8,1972,4295.87983229524,U|UE3,,1,26 Route de Chantepie 35510 Cesson-Sévigné,48.10081415708235,-1.6069078068752705,"https://www.geoportail.gouv.fr/carte?c=-1.606908,48.100814&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C036,35051000AK0196,2024-06-16,26,,E,0.4308510638297872,62.2,1955,278.378893814376,U|UE2c,,1,4 Allée des Fauvettes 35510 Cesson-Sévigné,48.115481699454676,-1.6285457645921797,"https://www.geoportail.gouv.fr/carte?c=-1.628546,48.115482&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C037,35051000AD0057,2026-04-30,4,0.2964680212736943,D,0.3853884808658678,95.8,1978,208.160478126333,U|UE2c,,1,50 Rue des Petits Champs 35510 Cesson-Sévigné,48.12277973168371,-1.5974072920071718,"https://www.geoportail.gouv.fr/carte?c=-1.597407,48.122780&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
C038,35051000ZT0144,2024-04-29,28,,E,0.4308510638297872,70.8,1931,1489.73884364103,U|UE3,,1,14 Route de Chantepie 35510 Cesson-Sévigné,48.1016351727308,-1.60512451977503,"https://www.geoportail.gouv.fr/carte?c=-1.605125,48.101635&z=19&l0=ORTHOIMAGERY.ORTHOPHOTOS::GEOPORTAIL:OGC:WMTS(1)&l1=CADASTRALPARCELS.PARCELLAIRE_EXPRESS::GEOPORTAIL:OGC:WMTS(1)&permalink=yes",
